Files already downloaded and verified
Files already downloaded and verified
Using cache found in /home/xi/.cache/torch/hub/facebookresearch_dino_main
/home/xi/miniconda3/envs/torch_env/lib/python3.10/site-packages/torch/cuda/__init__.py:716: UserWarning: Can't initialize NVML
  warnings.warn("Can't initialize NVML")

>> Running: Nc=1, J=4
Round [001/200] | LR: 0.01000 | Tr Loss: 3.4204 | Te Loss: 11.9104 | Te Acc: 3.08% | Best: 3.08%
Round [002/200] | LR: 0.01000 | Tr Loss: 6.2618 | Te Loss: 11.2246 | Te Acc: 3.13% | Best: 3.13%
Round [003/200] | LR: 0.01000 | Tr Loss: 6.1790 | Te Loss: 12.3821 | Te Acc: 2.91% | Best: 3.13%
Round [004/200] | LR: 0.01000 | Tr Loss: 7.6143 | Te Loss: 11.7145 | Te Acc: 3.29% | Best: 3.29%
Round [005/200] | LR: 0.01000 | Tr Loss: 6.8609 | Te Loss: 12.3232 | Te Acc: 4.44% | Best: 4.44%
Round [006/200] | LR: 0.01000 | Tr Loss: 5.8329 | Te Loss: 15.3613 | Te Acc: 2.52% | Best: 4.44%
Round [007/200] | LR: 0.01000 | Tr Loss: 8.1930 | Te Loss: 11.6586 | Te Acc: 5.22% | Best: 5.22%
Round [008/200] | LR: 0.01000 | Tr Loss: 8.0607 | Te Loss: 11.8615 | Te Acc: 4.48% | Best: 5.22%
Round [009/200] | LR: 0.01000 | Tr Loss: 5.5121 | Te Loss: 15.7507 | Te Acc: 3.90% | Best: 5.22%
Round [010/200] | LR: 0.01000 | Tr Loss: 13.6795 | Te Loss: 15.7829 | Te Acc: 3.64% | Best: 5.22%
Round [011/200] | LR: 0.01000 | Tr Loss: 10.3240 | Te Loss: 15.2462 | Te Acc: 5.99% | Best: 5.99%
Round [012/200] | LR: 0.01000 | Tr Loss: 8.7773 | Te Loss: 16.4749 | Te Acc: 3.62% | Best: 5.99%
Round [013/200] | LR: 0.01000 | Tr Loss: 12.1957 | Te Loss: 14.7708 | Te Acc: 6.13% | Best: 6.13%
Round [014/200] | LR: 0.01000 | Tr Loss: 10.2372 | Te Loss: 15.7023 | Te Acc: 3.47% | Best: 6.13%
Round [015/200] | LR: 0.01000 | Tr Loss: 9.9577 | Te Loss: 18.7022 | Te Acc: 3.08% | Best: 6.13%
