Files already downloaded and verified
Files already downloaded and verified
Using cache found in /home/xi/.cache/torch/hub/facebookresearch_dino_main
/home/xi/miniconda3/envs/torch_env/lib/python3.10/site-packages/torch/cuda/__init__.py:716: UserWarning: Can't initialize NVML
  warnings.warn("Can't initialize NVML")

>> Running: Nc=1, J=4
Round [001/200] | LR: 0.01000 | Tr Loss: 3.4411 | Te Loss: 11.4016 | Te Acc: 1.84% | Best: 1.84%
Round [002/200] | LR: 0.01000 | Tr Loss: 5.6064 | Te Loss: 11.8742 | Te Acc: 2.45% | Best: 2.45%
Round [003/200] | LR: 0.01000 | Tr Loss: 6.7388 | Te Loss: 16.6850 | Te Acc: 1.87% | Best: 2.45%
Round [004/200] | LR: 0.01000 | Tr Loss: 8.9723 | Te Loss: 16.0483 | Te Acc: 1.46% | Best: 2.45%
Round [005/200] | LR: 0.01000 | Tr Loss: 8.3776 | Te Loss: 16.3243 | Te Acc: 2.44% | Best: 2.45%
Round [006/200] | LR: 0.01000 | Tr Loss: 8.6808 | Te Loss: 14.7158 | Te Acc: 2.55% | Best: 2.55%
Round [007/200] | LR: 0.01000 | Tr Loss: 7.9656 | Te Loss: 15.4543 | Te Acc: 2.92% | Best: 2.92%
Round [008/200] | LR: 0.01000 | Tr Loss: 8.7065 | Te Loss: 16.6867 | Te Acc: 2.80% | Best: 2.92%
Round [009/200] | LR: 0.01000 | Tr Loss: 8.6954 | Te Loss: 16.3530 | Te Acc: 3.26% | Best: 3.26%
Round [010/200] | LR: 0.01000 | Tr Loss: 8.4609 | Te Loss: 16.0212 | Te Acc: 4.63% | Best: 4.63%
Round [011/200] | LR: 0.01000 | Tr Loss: 11.5920 | Te Loss: 16.7545 | Te Acc: 3.26% | Best: 4.63%
Round [012/200] | LR: 0.01000 | Tr Loss: 13.4519 | Te Loss: 18.0687 | Te Acc: 3.23% | Best: 4.63%
Round [013/200] | LR: 0.01000 | Tr Loss: 13.4395 | Te Loss: 18.0428 | Te Acc: 2.74% | Best: 4.63%
Round [014/200] | LR: 0.01000 | Tr Loss: 9.0470 | Te Loss: 16.5859 | Te Acc: 2.78% | Best: 4.63%
Round [015/200] | LR: 0.01000 | Tr Loss: 7.5973 | Te Loss: 15.7936 | Te Acc: 3.10% | Best: 4.63%
Round [016/200] | LR: 0.01000 | Tr Loss: 19.2396 | Te Loss: 15.4881 | Te Acc: 4.96% | Best: 4.96%
Round [017/200] | LR: 0.01000 | Tr Loss: 12.0152 | Te Loss: 16.4162 | Te Acc: 3.47% | Best: 4.96%
Round [018/200] | LR: 0.01000 | Tr Loss: 8.8611 | Te Loss: 17.1043 | Te Acc: 4.07% | Best: 4.96%
Round [019/200] | LR: 0.01000 | Tr Loss: 9.2009 | Te Loss: 17.2893 | Te Acc: 5.14% | Best: 5.14%
Round [020/200] | LR: 0.01000 | Tr Loss: 6.9680 | Te Loss: 17.0955 | Te Acc: 5.02% | Best: 5.14%
Round [021/200] | LR: 0.01000 | Tr Loss: 7.8785 | Te Loss: 16.1996 | Te Acc: 6.52% | Best: 6.52%
Round [022/200] | LR: 0.01000 | Tr Loss: 15.8103 | Te Loss: 16.4345 | Te Acc: 4.52% | Best: 6.52%
Round [023/200] | LR: 0.01000 | Tr Loss: 11.5295 | Te Loss: 15.8260 | Te Acc: 6.36% | Best: 6.52%
Round [024/200] | LR: 0.01000 | Tr Loss: 13.5681 | Te Loss: 16.7303 | Te Acc: 4.72% | Best: 6.52%
Round [025/200] | LR: 0.01000 | Tr Loss: 8.2802 | Te Loss: 17.0801 | Te Acc: 3.78% | Best: 6.52%
Round [026/200] | LR: 0.01000 | Tr Loss: 11.1453 | Te Loss: 15.9969 | Te Acc: 7.62% | Best: 7.62%
Round [027/200] | LR: 0.01000 | Tr Loss: 10.3038 | Te Loss: 18.1742 | Te Acc: 4.44% | Best: 7.62%
Round [028/200] | LR: 0.01000 | Tr Loss: 9.1160 | Te Loss: 18.9250 | Te Acc: 5.09% | Best: 7.62%
Round [029/200] | LR: 0.01000 | Tr Loss: 11.0587 | Te Loss: 15.9927 | Te Acc: 8.85% | Best: 8.85%
Round [030/200] | LR: 0.01000 | Tr Loss: 12.1658 | Te Loss: 14.6707 | Te Acc: 8.66% | Best: 8.85%
Round [031/200] | LR: 0.01000 | Tr Loss: 10.4616 | Te Loss: 15.1944 | Te Acc: 7.46% | Best: 8.85%
