Files already downloaded and verified
Files already downloaded and verified
Using cache found in /home/xi/.cache/torch/hub/facebookresearch_dino_main
/home/xi/miniconda3/envs/torch_env/lib/python3.10/site-packages/torch/cuda/__init__.py:716: UserWarning: Can't initialize NVML
  warnings.warn("Can't initialize NVML")

>> Running: Nc=50, J=8
Round [001/100] | LR: 0.01000 | Tr Loss: 6.1964 | Te Loss: 6.6497 | Te Acc: 4.76% | Best: 4.76%
Round [002/100] | LR: 0.01000 | Tr Loss: 6.3091 | Te Loss: 5.5704 | Te Acc: 9.84% | Best: 9.84%
Round [003/100] | LR: 0.01000 | Tr Loss: 5.5609 | Te Loss: 5.2267 | Te Acc: 15.71% | Best: 15.71%
Round [004/100] | LR: 0.01000 | Tr Loss: 5.3301 | Te Loss: 4.8423 | Te Acc: 21.74% | Best: 21.74%
Round [005/100] | LR: 0.01000 | Tr Loss: 4.9761 | Te Loss: 4.2497 | Te Acc: 25.48% | Best: 25.48%
Round [006/100] | LR: 0.01000 | Tr Loss: 4.7940 | Te Loss: 4.1253 | Te Acc: 26.98% | Best: 26.98%
Round [007/100] | LR: 0.01000 | Tr Loss: 4.0794 | Te Loss: 3.7250 | Te Acc: 32.00% | Best: 32.00%
Round [008/100] | LR: 0.01000 | Tr Loss: 3.4537 | Te Loss: 3.4607 | Te Acc: 36.00% | Best: 36.00%
Round [009/100] | LR: 0.01000 | Tr Loss: 3.2489 | Te Loss: 3.5777 | Te Acc: 35.25% | Best: 36.00%
Round [010/100] | LR: 0.01000 | Tr Loss: 3.0531 | Te Loss: 3.1661 | Te Acc: 40.94% | Best: 40.94%
Round [011/100] | LR: 0.01000 | Tr Loss: 2.7640 | Te Loss: 3.1472 | Te Acc: 41.07% | Best: 41.07%
Round [012/100] | LR: 0.01000 | Tr Loss: 2.5668 | Te Loss: 3.1103 | Te Acc: 42.76% | Best: 42.76%
Round [013/100] | LR: 0.01000 | Tr Loss: 2.6533 | Te Loss: 3.0400 | Te Acc: 43.61% | Best: 43.61%
Round [014/100] | LR: 0.01000 | Tr Loss: 2.4771 | Te Loss: 3.0029 | Te Acc: 43.76% | Best: 43.76%
Round [015/100] | LR: 0.01000 | Tr Loss: 2.3132 | Te Loss: 3.0528 | Te Acc: 45.09% | Best: 45.09%
