Files already downloaded and verified
Files already downloaded and verified
Using cache found in /home/xi/.cache/torch/hub/facebookresearch_dino_main
/home/xi/miniconda3/envs/torch_env/lib/python3.10/site-packages/torch/cuda/__init__.py:716: UserWarning: Can't initialize NVML
  warnings.warn("Can't initialize NVML")

>> Running: Nc=50, J=4
Round [001/200] | LR: 0.01000 | Tr Loss: 7.0158 | Te Loss: 6.9340 | Te Acc: 1.70% | Best: 1.70%
Round [002/200] | LR: 0.01000 | Tr Loss: 6.3032 | Te Loss: 6.2438 | Te Acc: 3.02% | Best: 3.02%
Round [003/200] | LR: 0.01000 | Tr Loss: 5.4962 | Te Loss: 5.9132 | Te Acc: 3.16% | Best: 3.16%
Round [004/200] | LR: 0.01000 | Tr Loss: 5.2210 | Te Loss: 5.3438 | Te Acc: 6.39% | Best: 6.39%
Round [005/200] | LR: 0.01000 | Tr Loss: 4.7450 | Te Loss: 5.0753 | Te Acc: 8.15% | Best: 8.15%
Round [006/200] | LR: 0.01000 | Tr Loss: 4.5162 | Te Loss: 4.8551 | Te Acc: 9.71% | Best: 9.71%
Round [007/200] | LR: 0.01000 | Tr Loss: 4.1568 | Te Loss: 4.5755 | Te Acc: 12.77% | Best: 12.77%
Round [008/200] | LR: 0.01000 | Tr Loss: 4.2393 | Te Loss: 4.3601 | Te Acc: 14.41% | Best: 14.41%
Round [009/200] | LR: 0.01000 | Tr Loss: 3.7477 | Te Loss: 4.1134 | Te Acc: 16.76% | Best: 16.76%
Round [010/200] | LR: 0.01000 | Tr Loss: 3.5950 | Te Loss: 4.0593 | Te Acc: 18.06% | Best: 18.06%
Round [011/200] | LR: 0.01000 | Tr Loss: 3.4107 | Te Loss: 3.8121 | Te Acc: 22.36% | Best: 22.36%
Round [012/200] | LR: 0.01000 | Tr Loss: 3.2482 | Te Loss: 3.7982 | Te Acc: 22.41% | Best: 22.41%
Round [013/200] | LR: 0.01000 | Tr Loss: 3.3519 | Te Loss: 3.6949 | Te Acc: 24.50% | Best: 24.50%
Round [014/200] | LR: 0.01000 | Tr Loss: 3.1910 | Te Loss: 3.6460 | Te Acc: 26.45% | Best: 26.45%
Round [015/200] | LR: 0.01000 | Tr Loss: 3.0672 | Te Loss: 3.5097 | Te Acc: 28.56% | Best: 28.56%
Round [016/200] | LR: 0.01000 | Tr Loss: 3.0975 | Te Loss: 3.4322 | Te Acc: 29.10% | Best: 29.10%
Round [017/200] | LR: 0.01000 | Tr Loss: 2.9380 | Te Loss: 3.3309 | Te Acc: 31.47% | Best: 31.47%
Round [018/200] | LR: 0.01000 | Tr Loss: 2.8960 | Te Loss: 3.3346 | Te Acc: 31.79% | Best: 31.79%
Round [019/200] | LR: 0.01000 | Tr Loss: 2.7957 | Te Loss: 3.2628 | Te Acc: 32.94% | Best: 32.94%
Round [020/200] | LR: 0.01000 | Tr Loss: 2.8539 | Te Loss: 3.2083 | Te Acc: 35.19% | Best: 35.19%
Round [021/200] | LR: 0.01000 | Tr Loss: 2.9835 | Te Loss: 3.1499 | Te Acc: 35.80% | Best: 35.80%
Round [022/200] | LR: 0.01000 | Tr Loss: 2.7282 | Te Loss: 3.0945 | Te Acc: 37.44% | Best: 37.44%
Round [023/200] | LR: 0.01000 | Tr Loss: 2.6292 | Te Loss: 3.0198 | Te Acc: 38.52% | Best: 38.52%
Round [024/200] | LR: 0.01000 | Tr Loss: 2.7417 | Te Loss: 3.0297 | Te Acc: 38.55% | Best: 38.55%
Round [025/200] | LR: 0.01000 | Tr Loss: 2.6818 | Te Loss: 3.0129 | Te Acc: 38.91% | Best: 38.91%
Round [026/200] | LR: 0.01000 | Tr Loss: 2.5457 | Te Loss: 3.0168 | Te Acc: 39.79% | Best: 39.79%
Round [027/200] | LR: 0.01000 | Tr Loss: 2.5165 | Te Loss: 2.9891 | Te Acc: 40.01% | Best: 40.01%
Round [028/200] | LR: 0.01000 | Tr Loss: 2.5841 | Te Loss: 2.9278 | Te Acc: 41.44% | Best: 41.44%
Round [029/200] | LR: 0.01000 | Tr Loss: 2.4965 | Te Loss: 2.8810 | Te Acc: 42.51% | Best: 42.51%
Round [030/200] | LR: 0.01000 | Tr Loss: 2.4055 | Te Loss: 2.8632 | Te Acc: 42.78% | Best: 42.78%
